title,writers
우리 대표님은 인생 2회차 [독점],B2K
아카데미의 EX급 엑스트라 [독점],염염
마법가문의 무신이 되었다 [독점],사비연
생선가게 용사 이야기 [독점],연필도토리
암살 가문의 천재 어쌔신 [독점],체나
퇴역병의 아포칼립스 [무료연재],작가G
공작의 집착을 감당하려면[독점],세하름
던전 포차 [독점],비수
연기 재능이 깡패임 [독점],서핑보이
전쟁의 신이 케이지 안으로 [무료연재],한빌
"고구려, 삼국지를 먹다 [무료연재]",풍아저씨
새벽의 문 [독점],스톰버민
삼국지 조진전,Aldor
천마의 슬기로운 무림생활 [무료연재],성공합시다
천재 투수가 홈런을 안 숨김,처음N
남작가 농사 천재,땅피
삼국지 : 손견의 아들이 되었다,메이키
회귀자 사용설명서,흙수저
"무명 배우, 성우 되다",유노이아
내 이동 스킬이 너무 강함,비정현파
꽃만 키우는데 너무 강함 [독점],쿰타타
"고려, 신대륙에 떨어지다",마늘맛스낵
공작가 데릴사위가 너무 유능함,오소록
천재매니저의 연예계 정복 [독점],찹쌀공자
명예로운 기사생활,팔전구기
대사관의 천재 요리사 되다 [독점],아셀
개밥 공장의 천재 아들,류진호
난 보스 스킬 쓴다,김주광
이것이 법이다,자카예프
나 혼자 총알 무한,by아말하
천마가 보여 [독점],보용도
나 혼자만 이지모드 [독점],빌론
망겜 속 아카데미에 입학했다 [독점],착한소
탈옥한 천재마법사 [독점],얼음커피
황실의 점괘는 흉으로 끝난다 [독점],배현
남장했는데 집착한다 오해받는다 [독점],단유미
제멋대로 굴어 놓고 [독점],파랑찌
왕좌를 돌려주고 사라지려 했는데 발목 잡혔다 [선공개],아리탕
기꺼이 가짜가 되어드릴게요 [독점],블라
서부로 간 검은머리 용병,노오력.
나태한 천재는 거물이 되기로했다,장탄
영광의 해일로,하제
역대급 러시아 황태자가 되었다,치오.
전천후 연예생활백서,자경(蔗境)
재벌가 천재는 품절남,켄치
탱커는 회귀해서 군주가 되었다,탁목조
과거를 보는 고생물학자,박윤진
트립한국：1942,daybreak95
천재 고등학생은 음악이 보인다,이일구.
BJ 돈미새,키다리향수
홍등가의 소드마스터,망신창이
성스러운 아이돌 [독점],신화진
"축구의 신, 필드에 강림하다",필로스
전직 아이돌의 배우 생활,김두루미
회귀한 천재 농부는 돈을 무한대로 재배해,1노트
천재는 인생이 너무 쉽다,늬파랑
준법 이세계의 변호사 [독점],마마마마바
헌터 여고의 남선생,쓸생
집착 남주의 유일한 안정제가 되었습니다 [선공개],백일홍
회사원이 능력을 숨김,혜인태
아카데미 검은머리 외국인,노빠꾸맨
내가 키운 S급들,근서
시한부 천재가 살아남는 법,청시소
약먹는 천재마법사,글근육
무림맹 망나니 감찰관 [독점],메제드K
화산파 역대급 천재,묘엽
검은 머리 천재 감독,블라님
남한산성부터 시작하는 빙의생활,핏콩
사이코패스가 천만배우,흠박
"공작님, 회개해주세요!",별볆볆별명
베르사유의 이방인,왕상준
게임 속 구원자가 되었다,리틀빅
뇌신 회귀 공자,하송
무솔리니가 캐리하는 2차대전?!,후퇴금지
마스터 마인드,프롬헬
귀환 첫날 아포칼립스가 열렸다,편몽
백파적 삼국지,운몽w
나 홀로 계승자,커피팬더
아기 드래곤의 엄마가 되었다 [독점],유리아에덴
번개 맞고 군주 후보자,OneQ
황후가 이끄는 밤 [선공개],장퀸
네 목을 비트는 새벽 [독점],진교
