title,writers
악녀는 패밀리의 숭배를 받고 [단행본],은나목
본능의 주인 [독점],윙클레인
호형사제(虎兄詐弟) [단행본],서재윤
참지 마,카마
너의 전부를 원해!,가온
역병 아포칼립스 생존기,파스테츄
흙수저 재벌사위가 다 해 먹음,리켄스
남작가의 정령 천재,사는게죄
망나니로 환생하니 특성이 개쩐다,우선(雨仙)
내 공격력이 이상하다,맥치
냉혹한 전남편 [외전 선공개],미친머리앤
조연의 반격은 없다,박귀리
몸정 [외전선공개],금나루
복수는 드래곤과 함께 [독점],박제후
위대한 불청객,김슬임
당신이 울었으면 좋겠어 [선공개],배유나
애설화(哀雪花)[단행본],민서하
만 년 만에 귀환한 플레이어 [단행본],나비계곡
전생한 검술천재가 너무 양아치임,소환왕
엘프로 전생해버렸다,거리세
저기요? 능력치가 좀 이상합니다 [단행본],시바코기
익애 [단행본],딜리안
작곡천재의 멜로디 [단행본],나일함
하고 싶은 [단행본],서단우
올 힘 마법사 [단행본],맛김
청기와집 막내아들,서야
암흑가 수장 남편을 치료해 주었더니 [단행본],라일리악
남장여자 엑스트라에게 빙의했다[외전선공개],이라라
"후작가의 망나니, 기간트로 영웅 되다",먼스타
톱스타의 푸드트럭,현우001
결혼을 돌려줘!,진유현
지독하게 끌리는,강여울
전역인 줄 알았는데 종말이었다,A팀
선택된 남자 [BL][단행본],모리미
선택된 남자 외전 [BL][단행본],모리미
조자룡 하북제패 [단행본],천진암
사랑의 끝에서 너를 만나다,온별하
삼류 악역 아가씨는 오늘도 노력한다 [선공개],윤놀이
이 세상에 나 혼자 여자 [단행본],소피아킴
메디컬 비스트(medical beast) [단행본],반해
기사는 오크재능을 흡수한다,강민성
여러단편 이야기,spjin
몽마가 찾아오는 밤,신양이
전남편의 미친개를 길들였다 [외전 추가][독점],재겸
필드에 착한 개는 없다,IdeA™
귀환자가 던전을 씹어 먹음 [독점],잉걸불
조직의 천재 삼국지로 가다,왕고릴라
예술이 밥 먹여준다,윤소후
보석학교,단델리언
오아뉴-멱살 한번 잡힙시다 [독점],뉴럭이
뇌섹남의 피지컬 방송,택경
됐고요! 그런 말은 법정에서 하세요 [단행본],디켐
로잘린 보가트 [단행본],하노HANO
"그날 밤, 너의 입술이 머문 곳 [단행본]",은새비
애타는 신혼일기 [단행본],낭만로맨스
연하남의 수상한 도발 [단행본],강샙별
나쁜 스캔들 [단행본],유카
각골명심(刻骨銘心) [단행본],Benecia
책임져 주세요 [단행본],윤소다
오르페우스의 봄 [단행본],현류월
사랑받는 시집살이 [단행본],태소정
마왕을 유혹하는 중입니다 [단행본],스카이야
위험한 사내 결혼 [단행본],알리시아
초기억으로 절대자가 되는 법 [단행본],정체불명1호
사탄지엽(蛇呑之皣) : 흰 꽃을 삼킨 뱀 외전 [BL][단행본],엉클쌤
탐스러운 [단행본],제이오스
사탄지엽(蛇呑之皣) : 흰 꽃을 삼킨 뱀 [BL][단행본],엉클쌤
다시 사랑한다면 [개정판][단행본],이리스
리셋팅 레이디 [외전][단행본],차서진
리셋팅 레이디 [단행본],차서진
전남편과의 맞선 [단행본],신다온
제국의 검 레아스 [단행본],라스cca
거짓이거나 사랑이거나 [단행본],이윤미
전남편의 프러포즈 [개정판][단행본],라라진
네가 후회를 시작했을 때,꿀끼
오만한 그 남자의 여비서 [단행본],농약같은가스나
"소금, 꽃[GL][단행본]",신해원
엘리 [단행본],작은의자
유혹대작전,민은아
하트 노트 (HEART NOTE) [BL],문결
결혼 후애 [단행본],조앤
황태자의 전속 파티셰가 되었습니다 [단행본],호두과자
당신과 나 사이에 없는 것[단행본],아라휘
당신과 나 사이에 없는 것 외전[단행본],아라휘
감춰진 시간은 달빛에 빛나고 [단행본],제이미르
전남편과 다시 한번 [단행본],아우라
스캔들과 결혼의 상관관계 [단행본],백자
꿈의 베일을 걷고서,엘리
"도발, 황홀하게 [외전][단행본]",키르
역적 공작의 부하로 살아남기 [단행본],도웅
들이대지 마 [BL][단행본],모리미
들이대지 마 외전 [BL][단행본],모리미
밴시도 웃고 싶다 [단행본],흰냥이
밴시도 웃고 싶다 [외전][단행본],흰냥이
세비지 포레스트 [단행본],박죠죠
문답무용 - 삼국지 유비의 모사가 되었다 [단행본],청빙
라스트 서바이버 : 진화로 살아남아라! [단행본],청빙
T.S.A 국가비밀요원 [단행본],정다온
T.S.A 국가비밀요원 외전 [단행본],정다온
T.S.A 국가비밀요원 [외전포함],정다온
결혼의 의무 [외전선공개],서우진
황제를 버리겠습니다 [단행본],우주봄봄
질 나쁜 결혼 [선공개],Yulia
신마 환생,요비
검도의 신神,하이엔드
기레기와 함께하는 연예계 생활,피제이
감 비서가 고장났다 [독점],"파란드, JYUN"
끈 [독점],"김서진, 마끼"
내 집 아래 경험치 800% 지하던전,아길론
빼앗긴 시간 [단행본],한서은
마계에서 귀환한 천재 마법사 [단행본],김현우
전남편과 계약 연애,금나루
회귀했는데 옆집에 내가 산다,청동수
오! 주인님,"유나리, DELTA"
"해왕, 하늘을 건너다 [완전판]",소그미
9서클 마법사의 탄생 [단행본],정룡필
해피엔딩 로맨스 [BL],서리브
직권 남용 사내 연애 [선공개],하말
"수국 지는 무렵에, 다시",KIMARA
은퇴 좀 해라 [단행본],생착률95
팀장님이 잘하는 짓,채유주
회귀자의 소소한 꿀팁방송 [단행본],김author
단지 외로움을 아는 이만이,서찬아
악녀에게 의리가 어디 있어 [개정판],천의얼
숨 쉴 틈도 없이[외전선공개],로즈페이퍼
별의 호수,블루시연
별의 호수 [단행본],블루시연
로맨스(Romance),히아신스여우
다크 메시아,기천검
역대급 만능 플레이어,짬킹
패왕에게 비서가 필요한 이유 외전 [단행본],바믜
패왕에게 비서가 필요한 이유 [단행본],바믜
사표내고 이계에서 힐링합니다 [독점],딥블랙
회귀한 재벌의 경제 정벌기,예린채린
조선 거상 홍팀장,와이키키진
유물의 목소리가 들려,불가살이
재벌가 늦둥이,런치
활기찬 금욕생활 [외전][단행본],임하얌
"방랑열차, 라인 캐터필러",Aurvandil
서툰 찐 사랑 [단행본],카푸
서툰 찐 사랑,카푸
Baroque(바로크) [외전2][단행본],별보라
사랑의 끝에서 너를 만나다 [단행본],온별하
하고 싶은,서단우
회귀자 용사님 처우개선안 [BL],여르날
달콤한 쾌락의 밤 [단행본],은진
재능 넘치는 게이머 [단행본],덕우
아워 웨이 오브 러브(Our Way of Love)[단행본],전소혜
섹시한 짐승의 덫 [독점],놀토랑
스틸(Still),이윤진
"낯선 여자, 아내",민설
임호 [단행본],미송검
방구석 멜로디,또다른
"마왕학원의 부적합자 ~사상 최강의 마왕인 시조, 전생해서 자손들의 학교에 다니다~ [단행본]","SHU, SHIZUMAYOSHINORI"
붉은제국,무천검
혼주는 아홉 살[단행본],허도윤
투스 앤 네일(Tooth and Nail) [단행본],artois
아이 컨택 [BL][단행본],모리미
아이 컨택 외전 [BL][단행본],모리미
암살자였던 군주,김기세
달콤한 쾌락의 밤,은진
오! 윤택하리 [단행본],해글님
오! 윤택하리,해글님
카피 헌터가 다 해먹음 [독점],별천성
공녀 전하의 가정교사 [단행본],"나나노 리쿠, cura"
그 황녀님이 두 번째 삶을 사는 방법 [선공개],박희진
널 사랑하겠어 [단행본],러브레터
퇴근한 그들의 사정 [단행본],가시나
아픈 사랑 [단행본],수다마니아
이혼 후 먼치킨,럭키7
오크제국건설기,크루크루
이 중매는 뭔가 잘못되었다,성가희
맹수의 밧줄 [단행본],고요한물
삼국지 원담전 : 일합무적,무적무술
그냥 친구가 아니야[개정판][BL][단행본],김조용한
사또의 여자가 되겠나이다 [단행본],서은진
사또의 여자가 되겠나이다 [합본][단행본],서은진
로마 디펜스,뿌링틀
단편행 완행열차 1호 [GL][단행본],탄실
충동에 가까운 [단행본],우효인
사랑보다 뜨거운 [단행본],범서라
타인은 처음이라서요,김오리다
이제야 나를 그리워한다,연한
야구를 더 잘하게 됨 [단행본],불량집사
힛 더 토 (Hit The Toe) [BL][단행본],서랑
힛 더 토 (Hit The Toe) [외전][BL][단행본],서랑
못난이 영애의 시크릿 파우치 [단행본],퍼플레몬
새언니는 나쁘지 않아요 [단행본],주혜린
적색주의_적의 색기를 주의하라,파인트리
시골 홈 센터 직원의 자유로운 이세계 생활,"우사뿅, 이치마루 키스케"
스티그마 이펙트 [단행본],도위
카우보이식 애인 [BL][단행본],포인
역대급 재능의 공작가 막내아들 [단행본],연량
눈떠보니 망나니 검술천재 [단행본],이한성
"막장, 대공이 되었다 [단행본]",악휘
BJ가 범인을 잘 잡음 [단행본],용돈
역대급 재벌 손자가 되었다 [단행본],꿈가득남
100년 묵은 탑 셰프 [단행본],문공룡
톱스타가 재능 싹쓸이함 [단행본],동굴과습지
화담(花談),티티베
위험한 오빠들 [단행본],진숙
화담(花談) [단행본],티티베
배덕한 연하의 유혹 [외전 선공개],캐슬그린
문명 : 두 개의 세계 [독점],학패전하
꼴등MVP와 일등닥터 [단행본],앤앤케이
엑스ex의 변태 [단행본],허도윤
비 내리는 어느 밤에 [외전선공개],단설(旦雪)
언더독 커넥션 [BL][단행본],TP
신수제일검,베스타
젖어 드는 하루 [단행본],비단라
젖어 드는 하루,비단라
군대만 세번째,NK스토리
제자들이 너무 강해!,작은작가
자유 프랑스의 한국인,암여파더
결혼 먼저 할까요?,라헬
각인시키다,난주
빼지 마,시에라
크림파이 메리지 [삽화본],"솜버찌, 절지"
연정은 답글을 타고,티티베
"검성, 돌아오다 [독점]",진화랑
연정은 답글을 타고 [단행본],티티베
복숭아 꽃을 삼켜라 [외전포함],쿄쿄캬각
복숭아 꽃을 삼켜라 [단행본],쿄쿄캬각
뜨겁게 지리는,에스큐
"설마, 처음?",이한윤재
아카데미 고인물이 다 해먹음,민트맛맥콜
이 세계를 끝내러 왔습니다,MSG
난 할 수 있어,김현빈
삼국지:소제의 역습,류진호
불꽃의 기사,도동파
부서진 소년 [BL],리을
상단주의 망나니 아들이 되었습니다 [단행본],정선비
재벌가 네크로맨서 [단행본],침략자
함장에서 제독까지 [단행본],Havoc
내 눈에 시청률이 보여,리콘
연애 실행 계획서,세환
악인들의 대사형,류진 / 권태용
방구석 멜로디 [단행본],또다른
4인의 회귀자 [단행본],봉원근
애오욕,한을
용사를 방치했더니 차원 최강 [단행본],갯장어
그 에스퍼를 동정하지 마세요,윤서진
개 같은 계절 외전 [단행본],은서정
살아가다 한 번쯤,이새늘
주인공들이 내게 집착한다,송당당
내 눈에 시청률이 보여 [단행본],리콘
해피 웨딩 데이 [BL],블루제로
미운 토끼 새끼,한을
부서진 소년 [BL][단행본],리을
준남방 [선공개],말과
위대한 총통 각하 [단행본],지사J
대영제국 함장이 되었다 [단행본],대형수상함
천조,박현수
황태자의 전속 파티셰가 되었습니다,호두과자
고이든 이달린 외전 [단행본],신겸
나쁜 계약 [단행본],리키
나쁜 계약 외전 [단행본],리키
토각태각,한을
어수룩한 토끼 씨,한을
고이든 이달린 [외전 선공개],신겸
제국의 검 레아스,라스cca
전남편과 다시 한번,아우라
그곳의 온도 [특별외전][단행본],청단
비몽(非夢) [특별외전][단행본],오른별
맛있는 남자 [개정판],마뇽
무림오적,백야
강철의 열제 2부 - 서울 정벌기 [단행본],가우리
빵을 들고 나왔다 [독점],법화
공작가 천재막내,산도령
밤의 집사님,백화(百花)
죽이는 플로우 [단행본],전여린
죽이는 플로우 외전 [단행본],전여린
이혼당하려고 황자를 노예로 사버렸다 외전 [단행본],글뽑는자판기
마음을 벗다 [개정판][선공개],이파람
이세계 금속공장 [독점],"납자루, E.de.N"
바이킹 군주로 살아남기,재즈소울
귀신 보는 공작부인,가람달
베이시스 수렴의 법칙 [BL],맛홍
"첫사랑, 그 징글징글한 [단행본]",류진
여포두 [독점],애모딩
이혼당하려고 황자를 노예로 사버렸다,글뽑는자판기
너의 별에 닻을 내리면 [단행본],현민예
해이의 첫사랑 스캔들 [특별외전][단행본],스타주디
악녀는 절대 죽지 않는다 [특별외전][단행본],베리벨(김재협)
키 마스터는 사이다를 좋아해!,골든아공간
악녀가 폭군과 이혼하는 방법 [선공개],예화
혈마이계전 [개정판],트웰브
코트 위의 제왕,링컨ABC
나폴레옹 in 1812,아이시루스
해남검귀,편광(片光)
저주를 풀어드릴게요,하토르
몬스터 도감을 아시나요?,난중일기
발칙한 연애,"김은정, 묵음"
빛나거나 미치거나,"현고운, 김스타"
선배 [단행본],반떼
로열로더 유격수 [단행본],닥훈
이상하지만 사랑스러운,몸서리
숨결을 삼키다 [외전증보판][단행본],문스톤
스피릿(spirit) [BL],피츠
"색야(色夜), 색으로 물든 밤",김단아
그 남자와 네번째 [외전 선공개],골드드럼
황제를 버리겠습니다,우주봄봄
"그 결혼, 나랑 해요",khiaraa
7일의 밤 [외전선공개],금나루
그 사냥꾼의 구애방식,군청주단
손가락만으로 압살한다,sdcknight
기억을 읽는 환생경찰,빅타
"변주곡, 회귀물의 최대 피해자에게 빙의했다",크레모나
자취방개론 [외전][단행본],연초
부적격 부부 [선공개],나제
아로새겨지다,크래커통
"나의 아내였던, 혜원",와니니
"미안, 못 참겠어",문곰
내 몸을 돌려줘요 [단행본],박도아
로맨스(Romance) [단행본],히아신스여우
이혼 로맨스 외전 [단행본],진덕
당신께 곡을 바칠게요 [BL][단행본],허니버드
청혼 계약,권초이
권투사 칼리,백수귀족
마인환생 [단행본],부교주
더티 섹시 러브 [개정판][외전][단행본],버블방
탐하고 탐하다 [선공개],새벽향기
블랙노티스,천수무객
이혼 로맨스 [외전포함],진덕
"다시, 여기",브루니
"의대생, 꽃다미가 날아들다 [단행본]",제은율
"화비, 탐닉의 늪 [외전][단행본]",달콤한공주
월연사실록(月戀私實錄)-황제의 여인 [외전2][단행본],백합월
역대급 테니스 천재가 되었다,소는음메
내 뇌속에 하드 디스크가 존재한다,얕은
카드 수집하는 전설의 유격수,키친캐비닛
환야당의 발칙한 밤 [독점],"월우, 비이커"
스캔들과 결혼의 상관관계,백자
개 같은 계절 [단행본],은서정
수요일의 기사님,꿀설기
재능약탈 포워드,김택용
용호상정 4~5권 [BL][단행본],아노르이실
탐욕의 복수,지옥에서온아내
거짓말쟁이들이 가는 지옥,로웬나
발칙한 그 남자의 아찔한 입맞춤 [단행본],르망드
용호상정 1권 [BL][단행본],아노르이실
용호상정 2~3권 [BL][단행본],아노르이실
발칙한 그 남자의 아찔한 입맞춤 [외전포함],르망드
더티 섹시 러브 [개정판][단행본],버블방
더티 섹시 러브 [개정판],버블방
격차혼,고슬밥
아주 사소한 이유,그다음
대장군 신립 [단행본],드림판다
오직 네 죽음만이 나를 [BL],플로나
악녀는 오늘도 원두를 볶는다,블랑슈
"미안, 개입 좀 할게",손서유
대공님께 헌팅당했습니다,면역계
비서입니다만 [BL][외전포함],피츠
이세계 템빨 전당포 [단행본],달비트
화려한 포식자 [선공개],유카
그냥 흔하고도 뻔한 [외전][단행본],빨간물병
한 발 빠른 허니문 [단행본],갬성충만
신데렐라로 사는 세 가지 법칙,김나든
헤스티아 [선공개],채하빈
역대급 빌런의 영웅 라이프 [독점],버스트다운
연금술사의 24시간 약국,류송
우리 영주님은 무공고수,세린sr
만렙 회귀자입니다만?,청초
나 홀로 버그로 꿀빠는 플레이어,청초
도깨비 [단행본],양복선
황후의 합(合),금나현
사이비 교주였는데 진짜 성녀가 되어 버렸다,치즈페어리
끌어안다,주은숙
너를 갚는 방법 [외전][단행본],장하
미녀의 추녀 입성기,스타주디
삼국지-꼭두각시 군주,레니sh
게임 속 망나니가 되었다 [단행본],노력작가
송문귀환 [단행본],천봉
못된 취향,클람
게임 속 마법사로 살아가는 법,하늘탑
사랑에 빠지는 그 짧은 순간!,마담로그인
책으로 만나다 [개정판],양진우
마음을 그리다[개정판][BL],김조용한
"청리, 내 모든 것",오브레오
"떨림, 너를 기억해[단행본]",청율
태도의 이면 [BL][단행본],기적의겨울
그 게이트 내 탓이다,연함
지독하고 완전한 소유 [독점],고라니(Gorani)
남편 쇼핑,느린돌
"해도 돼요, 대표님 [단행본]",여안
척준경이 달라졌어요 [단행본],노델
네가 감히 [단행본],강희자매
나 혼자 만능 에이전트 [단행본],퀀텀
마운드로 돌아왔다 [단행본],탈주병
탐하고 탐하다 [단행본],새벽향기
불현듯 찾아온 당신,미묘리
벌어진 틈 사이로 [단행본],마담벨
천재 조연으로 사는 법 [단행본],하동댁
삼겹나라 목살공주 [단행본],박정민
몽골에서 유럽까지 [단행본],Cheezy
마운드의 짐승 [단행본],이블라인
회귀자의 성공 라이프 [단행본],SOKIN
지하벙커 신드롬 [단행본],하얀색고래
탑 셰프의 비밀 서고,레오퍼드
리턴 투 라이프,드래곤발차기
나를 이끌어 주세요 마에스트로,헬렌더스
나의 아찔한 파트너 [선공개],G.
까칠 포도대장,심혜리
나의 진심을 너에게,윤소다
유토피아 [단행본],좋았던추억
오매불망 (외전증보판) 1권 [BL][단행본],선명
오매불망 (외전증보판) 2권 [BL][단행본],선명
오매불망 (외전증보판) 3권 [BL][단행본],선명
내 편 해줘 1권 [BL][단행본],달밤달곰
내 편 해줘 2권 [BL][단행본],달밤달곰
나의 지호 외전 [BL][단행본],아이주
생존학 개론,미스터쿼카
나의 지호 [BL][단행본],아이주
대공비 엘레노아 [개정판],윈드버드
군주로 돌아왔다 [단행본],강성현
눈부시게 아름다운 [단행본],월하
너를 갚는 방법,장하
너를 갚는 방법 [단행본],장하
자신있으면 건드려 보든가 [외전][단행본],화연윤희수
show [단행본],에스큐
유령을 사랑하는 방법 [단행본],젤린
돌아와 다시 서다.,수녀와승려
천재 음악 프로듀서가 되었다,주딩크
시간의 길[단행본],김새빛
나쁜남자 VS 착한 여자,블 루 스 카 이
티그리스의 개,이현성
그 에스퍼를 동정하지 마세요 [단행본],윤서진
"대표님, 편의점에서 만나요",정여진
판타지 속 용병이 되었다 [단행본],아다따뚜겐
천마님은 중화요리사 [단행본],김한™
사표 내고 호주 갑니다 [단행본],설화담
달콤야릇한 오피스 [단행본],반떼
뜨거운 소유욕,태은
수몰 지구 [BL][외전포함],김조용한
에스트렐라,양소저
자객입니다만 [단행본],비담
개과천악,기하령
나의 지호 [BL][외전포함],아이주
츤데레의 정석,"윤소다, 도파민"
중소기업 신입사원 이현준,혁이
오늘부터 계약합시다 [단행본],유시아
"아빠, 나 이 결혼 안 할래요! [단행본]",홍희수
"아빠, 나 이 결혼 안 할래요! 특별 외전[단행본]",홍희수
결혼의 공식 [단행본],훈
재벌로서 살겠다.,이오오
방황하는 마법사,새벽4시반
고인물이 너무 잘 가르침,민트버거
환생밀정 찰나회귀 [독점],박정현
재벌 3세 부동산 점령기,김내곰
승승장구 배우의 신  [독점],유니크K
만렙 플레이어의 쓸만한 공략방송,오브더
패링으로 레벨업,부러진직검
독후중생계,"앵무쇄월, 리을"
수몰 지구 [BL][단행본],김조용한
수몰 지구 외전 [BL][단행본],김조용한
시골 홈 센터 직원의 자유로운 이세계 생활 [단행본],"우사뿅, 이치마루 키스케"
NEXT-진화에 대처하는 방법,금문장
금수의 왕 [BL],몽낙
전남편 꼬시기,문희
37.2-쾌락의 온도,복희씨
지옥도 거부한 악마 [단행본],L영G
선조 in 1592 [독점],JF.초대박
연금술사 플레이어 무림가다 [단행본],소설마표
"이혼 후, 더 진한 사이",문희
이제는 내가 버리겠다 [선공개],라엘리아
네라드 연대기,별다방쟁이
탑 예능 프로듀서,로톤
펜타킬의 황제 [독점],비벗
히든 게이머,아련히
애정의 품격 [외전포함],서정인
비첩 도희 [외전 선공개],골드드럼
이번 생은 뮤지컬 스타,필건
밀어낼 틈도 없이,아일라
기담 서동요 [단행본],한시내
빙의했는데 절친이 원수가 되었다 [GL][단행본],안쇼
빙의했는데 절친이 원수가 되었다 외전 [GL][단행본],안쇼
신들의 정원 [단행본],이아농
필드의 스나이퍼 [단행본],에에에
메이저리그의 황태자 [단행본],IdeA™
절정의 여름 [단행본],오울
행성 헌터 [단행본],이아농
그날에 우리 (외전증보판),강선애(지니안)
뱅퀴어 더 드래곤 [단행본],YAGI
재벌집 천재음악가가 되었다 [단행본],돌킴
브레이크 마스터,다원
회귀재벌 전성시대 [단행본],풍류태
다시 만난 제자 [단행본],정해길
아로새겨지다 [단행본],크래커통
더 퀸,송이연
애정의 품격 외전 [단행본],서정인
애정의 품격 [단행본],서정인
이산나는 자유를 원한다 [단행본],김뽀작
이유따윈 없다,김완수
무능천마 [단행본],2kw
아포칼립스의 유일한 황태자 [단행본],글꾸니
"가져봐, 지독하게 [단행본]",나이트플라워
유리구두를 물고 도망친 생쥐,"푸니짱, 카가미 에리"
주임님의 와이셔츠 속 비밀 [개정판] [BL],"나카하라 카즈야, 모토 하루히라"
귀환한 남작은 평범히 살고싶다,소건(逍乾)
상태창 워메이지,잎새사이
골프를 너무 잘함,바나나치킨
회귀가 뭐 이래,동기진
삼국지 천하를 그리다,이통
돌아온 천재배우,가나다
친애하는 벽난로 너머 당신에게 [단행본],프티차
사탕 도깨비 [BL][단행본],카르페XD
사탕 도깨비 [외전][BL][단행본],카르페XD
Q. 공략대로 했는데 안 되던데요? 1-2권 [BL][단행본],디삼
Q. 공략대로 했는데 안 되던데요? 3-4권 [BL][단행본],디삼
"집착 말고, 이혼해 주세요! [독점]","은서빈, 김스타"
투수가 마운드를 안 내려감,전율
이러면 운명 같잖아 [단행본],꼬리풀
이섭의 연애 [단행본],김언희
천재 매니저는 성지순례중,Standy
좋아하면 괴롭힌다,제타
엑스트라로 꿀 빠는 법 [단행본],송수하
미래를 고르는 매니저 [단행본],글집사
조선 옷고름 연쇄 살인 사건 [단행본],기영
냉정한 마법사의 첫사랑 외전 [단행본],신서봄
라이프 오브 앤지 [단행본],강녹두
라이프 오브 앤지 [외전][단행본],강녹두
악녀는 오늘도 원두를 볶는다 [단행본],블랑슈
악녀는 오늘도 원두를 볶는다 [외전][단행본],블랑슈
냉정한 마법사의 첫사랑,신서봄
온실 속 꽃은 개를 키운다 [GL][단행본],잘이야
온실 속 꽃은 개를 키운다 외전 [GL][단행본],잘이야
아날로그 감성 [단행본],고단풍
색여사회(色如死灰) [BL] [단행본],모르고트
불사단-체력의 제왕 [단행본],강철민
오후에 키스해 [개정판][단행본],박윤후
음모로 세계정벌 [단행본],불량집사
그 이사의 특별한 고문 [단행본],아은
불순한 상사 [외전][단행본],박하
37.2-쾌락의 온도 [단행본],복희씨
19살 이혼녀 [단행본],강해주
고독한 성녀에게 구원의 손길을 [단행본],지우안
몰락한 남작가의 회귀자 [단행본],Q10
운명론 [BL],옫밤
카우보이식 애인 [BL],포인
고독한 성녀에게 구원의 손길을,지우안
다시 한번 키스 [독점][외전 추가],마리스
미묘한 관계 [단행본],완전천재
"다시, 여기 [단행본]",브루니
입만 열면 거짓말 [외전선공개],백미경
공허한 공녀님 [단행본],수연J
용두사망 소설 속의 악녀가 되었다 [독점],"윤림, 마끼"
두 번째 섬 [단행본],월하
그래도 재벌 사위로 살겠다,라플라타
파트너쉽 [독점],진숙
방랑기사로 살아가는 법,글쓰는기계
황제의 노리개 [단행본],이프노즈
플리즈 컴플리트 미[단행본],윤그릠
거짓말쟁이들이 가는 지옥 [단행본],로웬나
수컷의 공식,연달아
내 손을 잡아! [단행본],달달진
전남편의 자격 [단행본],세컨시즌
탐욕의 복수 [단행본],지옥에서온아내
지금 할까요?,김소한
헌드레드 헤븐 [단행본],이경영
원 모어 타임(One More Time) [단행본],서정인
원 모어 타임(One More Time),서정인
우리 주인님은 사람 안 물어요,판타마니
돌아와 다시 서다.[단행본],수녀와승려
사랑에 오르다.,날기싫은 새
음탕한 하녀의 발밑엔 [단행본],심덕배
악녀의 아들에겐 죄가 없다,윤델리코
사랑스러운 왕자를 위하여 [BL][단행본],얀씨
바빌론의 푸른 꽃[단행본],첼시아
무영문 [단행본],최경열
"돌아온 아내 1,2권[합본]",김휘경
돌아온 아내 [단행본],김휘경
킬링 미 소프트리 3[단행본],서지인
엑스트라에게 집착하지 마세요 [단행본],진주하
제니 러브 [단행본],메이엘라
천마 레벨업 [단행본],이정표
엑스트라에게 집착하지 마세요,진주하
신화를 만드는 축구 감독 [단행본],리라이프
F급 헌터지만 천마는 천마다. [단행본],Ame바
가업을 위하여 [단행본],김원경
피폐물 주인공의 부인이 되었습니다 [단행본],김쿠크다스
역대 최강의 영주님 [단행본],이정표
전설 스킬로 인생역전! [단행본],예성
소드마스터 직전에 회귀 [단행본],류송
달콤한 계약 부부,우서라
나잇 애프터 원나잇,라넛
취미가 결혼이라 [단행본],봄나
태양의 계약서,이초아
꽃 피는 궁궐의 봄 [개정판] [선공개],놀마
이클립스 [BL][단행본],안의울
서로의 안에 깊숙이 [단행본],태소영
독립하려는데 남주들이 집착한다 [외전 선공개],진유나
우리 그거 해요 [단행본],남현서
먹음직스럽게,마뇽
꿈길을 걷는 남자,유리화
"공녀, 치유사로 살다 [단행본]",은서율
달콤한 사이코 [단행본],상림(메리J)
오! 마이 허니,한을
백작가 도련님은 흑마법사 [단행본],황시우
천만영화 제작사 [단행본],현우
여주가 도망쳤습니다,양소피
천만영화 제작사,현우
부부수업,한소미
전남편 꼬시기 [개정판][단행본],문희
내 남자의 안전 비행 [외전 선공개],진작
미친개는 시한부에게 목줄을 건넨다,슈가자몽
관능주의자,주주
너를 위한 선택 : 오늘도 명화는 눈을 뜨지 않았다,희망의가위
몹쓸 아내 [단행본],예주하
인생 리셋 오 일병! [독점],세상s
중년 무사,사바희
"처음이에요, 교수님",이사과
햇살 피는 나무 [단행본],라임별
회귀하여 90년대 톱스타되기,의향도
배덕의 매리지 [단행본],딜리안
성가신 동창에게 [단행본],늘찬
망국의 사자,김금율
"드디어 취업했는데, 악역의 비서였다 [단행본]",감기조심하셰요
이혼의 시작은 재혼부터 [단행본],한겨울의달리아
"묘, 영혼을 사로잡은 고양이",문희
"나무, 흔들리다",문희
하고 싶은 여자,달콤펜
이상하지만 사랑스러운 [단행본],몸서리
아주 사소한 이유 [단행본],그다음
비서 유혹 [단행본],남현서
"신투, 천하를 훔치다",윤하준
데이지 시베리우스 [단행본],Jezz
순무가 여기 있네,스쿠룽
당신께 곡을 바칠게요 [BL],허니버드
약속의 네버랜드 -노먼의 편지- [단행본],"SHIRAI Kaiu, Nanao, DEMIZU Posuka"
약속의 네버랜드 -엄마들의 추상곡- [단행본],"SHIRAI Kaiu, Nanao, DEMIZU Posuka"
너에게만 반응하는 [단행본],초대박
디자이어(Desire) [단행본],라하나
황궁의 미친개 [단행본],암행
곤두선 가시 [단행본],이승희
벗겨진 욕망 [단행본],유수경
페스티벌 [BL][단행본],takemehome
마계 명가 대공이 되었다,거짓이슬
환승 결혼 [외전증보판][단행본],바람바라기
미친 남자 [단행본],공문숙
이태백이 놀던 달아,파득별
자객입니다만,비담
햇살 피는 나무,라임별
안달 나도록 [선공개],퍼플독
환상삼국지(幻想三國志),NEMESIS
응급 결혼 [단행본],송진경
응급 결혼,송진경
마족의 계약,김윤경
게임에서 만렙거지를 주웠을 때 [BL][단행본],마린코드
게임에서 만렙거지를 주웠을 때 [외전][BL][단행본],마린코드
레이드 뛰는 해골기사,설차
손 끝에 걸린 실 (도깨비) [단행본],김효선
악역의 소꿉친구로 살아남기,에기사
연리비익,김나래
영주가 너무 잘한다! [단행본],막장법사
마존천하(魔尊天下) [단행본],운좋은놈
매너 오브 데스(manner of death) [BL],sammon
레인 인 더 우드(Rain in the woods) [GL],Aktiv
눈이 녹으면 너에게 [단행본],이미은
그와 그녀의 온도,포르테
불순한 대표님 [외전 선공개],봄그린
너에게 목줄을 채우고 싶어 [단행본],라온보라
겨울에 찾아온 우연,갬성충만
짐승이 됩니다 [외전][단행본],반해
저세상 재능,다원
축구 천재로 태어난 교황님,배수의진
너의 신이 너를 보냈구나,신서록
트러블메이커 [단행본],김혜영
금수의 왕 [BL][단행본],몽낙
